"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00427516","ST. GEORGE, UT US","1918-11-12",,,"72","29"
"USC00427516","ST. GEORGE, UT US","1918-11-13",,,"61","42"
"USC00427516","ST. GEORGE, UT US","1918-11-14",,,"65","45"
"USC00427516","ST. GEORGE, UT US","1918-11-15",,,"63","28"
"USC00427516","ST. GEORGE, UT US","1918-11-16",,,"64","27"
"USC00427516","ST. GEORGE, UT US","1918-11-17",,,"60","37"
"USC00427516","ST. GEORGE, UT US","1918-11-18",,,"64","37"
"USC00427516","ST. GEORGE, UT US","1918-11-19",,,"63","32"
"USC00427516","ST. GEORGE, UT US","1918-11-20",,,"65","30"
"USC00427516","ST. GEORGE, UT US","1918-11-21",,,"63","27"
"USC00427516","ST. GEORGE, UT US","1918-11-22",,,"59","33"
"USC00427516","ST. GEORGE, UT US","1918-11-23","0.16",,"52","42"
"USC00427516","ST. GEORGE, UT US","1918-11-24",,,"50","30"
"USC00427516","ST. GEORGE, UT US","1918-11-25",,,"48","24"
"USC00427516","ST. GEORGE, UT US","1918-11-26",,,"52","22"
"USC00427516","ST. GEORGE, UT US","1918-11-27",,,"41","22"
"USC00427516","ST. GEORGE, UT US","1918-11-28",,,"50","24"
"USC00427516","ST. GEORGE, UT US","1918-11-29",,,"52","22"
"USC00427516","ST. GEORGE, UT US","1918-11-30",,,"54","23"
"USC00427516","ST. GEORGE, UT US","1918-12-01",,,"61","22"
"USC00427516","ST. GEORGE, UT US","1918-12-02",,,"59","25"
"USC00427516","ST. GEORGE, UT US","1918-12-03",,,"62","26"
"USC00427516","ST. GEORGE, UT US","1918-12-04",,,"68","30"
"USC00427516","ST. GEORGE, UT US","1918-12-05",,,"62","37"
"USC00427516","ST. GEORGE, UT US","1918-12-06","0.40",,"54","43"
"USC00427516","ST. GEORGE, UT US","1918-12-07","0.35",,"55","30"
"USC00427516","ST. GEORGE, UT US","1918-12-08",,,"58","34"
"USC00427516","ST. GEORGE, UT US","1918-12-09","0.03",,"52","28"
"USC00427516","ST. GEORGE, UT US","1918-12-10",,,"53","30"
"USC00427516","ST. GEORGE, UT US","1918-12-11",,,"55","30"
"USC00427516","ST. GEORGE, UT US","1918-12-12",,,"59","26"
"USC00427516","ST. GEORGE, UT US","1918-12-13",,,"52","35"
"USC00427516","ST. GEORGE, UT US","1918-12-14",,,,"27"
"USC00427516","ST. GEORGE, UT US","1918-12-15",,,"56","28"
"USC00427516","ST. GEORGE, UT US","1918-12-16",,,"55","28"
"USC00427516","ST. GEORGE, UT US","1918-12-17",,,"55","37"
"USC00427516","ST. GEORGE, UT US","1918-12-18",,,"56","25"
"USC00427516","ST. GEORGE, UT US","1918-12-19",,,"55","23"
"USC00427516","ST. GEORGE, UT US","1918-12-20","0.05",,"52","25"
"USC00427516","ST. GEORGE, UT US","1918-12-21",,,"53","35"
"USC00427516","ST. GEORGE, UT US","1918-12-22",,,"50","24"
"USC00427516","ST. GEORGE, UT US","1918-12-23",,,"47","20"
"USC00427516","ST. GEORGE, UT US","1918-12-24",,,"45","18"
"USC00427516","ST. GEORGE, UT US","1918-12-25",,,,"30"
"USC00427516","ST. GEORGE, UT US","1918-12-26",,,"50","19"
"USC00427516","ST. GEORGE, UT US","1918-12-27",,,"50","20"
"USC00427516","ST. GEORGE, UT US","1918-12-28",,,"50",
"USC00427516","ST. GEORGE, UT US","1918-12-29",,,"51","18"
"USC00427516","ST. GEORGE, UT US","1918-12-30",,,"48","20"
"USC00427516","ST. GEORGE, UT US","1918-12-31",,,"37","12"
"USC00427516","ST. GEORGE, UT US","1919-01-01",,,"35","12"
"USC00427516","ST. GEORGE, UT US","1919-01-02",,,"41","15"
"USC00427516","ST. GEORGE, UT US","1919-01-03",,,"50","17"
"USC00427516","ST. GEORGE, UT US","1919-01-04",,,"53","17"
"USC00427516","ST. GEORGE, UT US","1919-01-05",,,"49","16"
"USC00427516","ST. GEORGE, UT US","1919-01-06",,,"49","16"
"USC00427516","ST. GEORGE, UT US","1919-01-07",,,"53","17"
"USC00427516","ST. GEORGE, UT US","1919-01-08",,,"54","17"
"USC00427516","ST. GEORGE, UT US","1919-01-09",,,"57","18"
"USC00427516","ST. GEORGE, UT US","1919-01-10",,,"54","17"
"USC00427516","ST. GEORGE, UT US","1919-01-11",,,"53","18"
"USC00427516","ST. GEORGE, UT US","1919-01-12",,,"58","23"
